ID,name,Topt_C,fAPARmax,geometry
US-PAS,"Florida, Paspalum notatum pasture",18.39,0.5321,POINT (-81.951 27.3944)
US-xYE,NEON Yellowstone Northern Range (Frog Rock) (YELL),0.0,0.31570000000000004,POINT (-110.5391 44.9535)
US-Los,Lost Creek,0.0,0.4642,POINT (-89.9792 46.0827)
US-PFd,NW3 Tussock-1 CHEESEHEAD 2019,0.0,0.47390000000000004,POINT (-90.301 45.9689)
US-KM4,KBS Marshall Farms Smooth Brome Grass (Ref),0.64,0.46390000000000003,POINT (-85.3301 42.4423)
US-Syv,Sylvania Wilderness Area,0.0,0.4913,POINT (-89.3477 46.242)
US-WCr,Willow Creek,0.0,0.4989,POINT (-90.0799 45.8059)
US-Rws,Reynolds Creek Wyoming big sagebrush,0.0,0.2906,POINT (-116.7132 43.1675)
US-xJE,NEON Jones Ecological Research Center (JERC),13.57,0.4944,POINT (-84.4686 31.1948)
US-SRG,Santa Rita Grassland,20.45,0.33290000000000003,POINT (-110.8277 31.7894)
US-xNW,NEON Niwot Ridge Mountain Research Station (NIWO),0.0,0.3301,POINT (-105.5824 40.0543)
US-Rms,RCEW Mountain Big Sagebrush,0.0,0.35860000000000003,POINT (-116.7486 43.0645)
US-NR4,Niwot Ridge Alpine (T-Van East),0.0,0.3301,POINT (-105.5859 40.052)
US-xDS,NEON Disney Wilderness Preserve (DSNY),17.59,0.5168,POINT (-81.4362 28.125)
US-xJR,NEON Jornada LTER (JORN),11.84,0.2447,POINT (-106.8425 32.5907)
US-Bar,Bartlett Experimental Forest,0.0,0.5215000000000001,POINT (-71.2881 44.0646)
US-ALQ,Allequash Creek Site,0.0,0.4607,POINT (-89.6067 46.0308)
US-MMS,Morgan Monroe State Forest,4.4,0.5483,POINT (-86.4131 39.3232)
US-UC1,LTAR UCB (Upper Chesapeake Bay) EC1,0.72,0.49620000000000003,POINT (-78.0056 40.7536)
US-PFb,NW1 Pine-1 CHEESEHEAD 2019,0.0,0.47390000000000004,POINT (-90.3232 45.972)
US-xDL,NEON Dead Lake (DELA),11.44,0.47250000000000003,POINT (-87.8039 32.5417)
US-xPU,NEON Pu'u Maka'ala Natural Area Reserve (PUUM),0.0,0.5117,POINT (-155.3173 19.5531)
US-xBL,NEON Blandy Experimental Farm (BLAN),4.79,0.497,POINT (-78.0716 39.0603)
US-xST,NEON Steigerwaldt Land Services (STEI),0.0,0.4671,POINT (-89.5864 45.5089)
US-xSB,NEON Ordway-Swisher Biological Station (OSBS),15.67,0.5047,POINT (-81.9934 29.6893)
US-xRN,NEON Oak Ridge National Lab (ORNL),6.0,0.5194,POINT (-84.2826 35.9641)
US-UC2,LTAR UCB (Upper Chesapeake Bay) EC2,0.8300000000000001,0.5016,POINT (-77.9998 40.7559)
US-xTR,NEON Treehaven (TREE),0.0,0.4761,POINT (-89.5857 45.4937)
US-xRM,"NEON Rocky Mountain National Park, CASTNET (RMNP)",0.6900000000000001,0.4423,POINT (-105.5459 40.2759)
US-Tw4,Twitchell East End Wetland,14.51,0.4334,POINT (-121.6413 38.1027)
US-Bi2,Bouldin Island corn,22.28,0.40900000000000003,POINT (-121.5351 38.1091)
US-Jo2,Jornada Experimental Range Mixed Shrubland,12.14,0.2331,POINT (-106.6032 32.5849)
US-CS5,Central Sands Irrigated Agricultural Field,0.0,0.4053,POINT (-89.5377 44.1095)
US-Mpj,Mountainair Pinyon-Juniper Woodland,3.79,0.3176,POINT (-106.2377 34.4384)
US-xWR,NEON Wind River Experimental Forest (WREF),0.0,0.6244000000000001,POINT (-121.9519 45.8205)
US-xUK,NEON The University of Kansas Field Station (UKFS),5.8,0.46640000000000004,POINT (-95.1921 39.0404)
US-xUN,NEON University of Notre Dame Environmental Research Center (UNDE),0.0,0.4592,POINT (-89.5373 46.2339)
US-xBR,NEON Bartlett Experimental Forest (BART),0.0,0.5215000000000001,POINT (-71.2873 44.0639)
US-CF4,CAF-LTAR Boyd South,0.0,0.3514,POINT (-117.1285 46.7518)
US-xCL,NEON LBJ National Grassland (CLBJ),15.81,0.43220000000000003,POINT (-97.57 33.4012)
CA-DBB,Delta Burns Bog,3.43,0.4949,POINT (-122.9849 49.1293)
US-Hn2,Hanford 100H grassland,12.82,0.2898,POINT (-119.4641 46.6889)
US-PFp,SE2 Hardwood-4 CHEESEHEAD 2019,0.0,0.4872,POINT (-90.2641 45.9365)
US-xKA,NEON Konza Prairie Biological Station - Relocatable (KONA),4.6000000000000005,0.4122,POINT (-96.6129 39.1104)
US-CS3,Central Sands Irrigated Agricultural Field,0.0,0.3904,POINT (-89.5727 44.1394)
US-xTE,NEON Lower Teakettle (TEAK),1.44,0.4248,POINT (-119.006 37.0058)
US-Rwf,RCEW Upper Sheep Prescibed Fire,0.0,0.2933,POINT (-116.7231 43.1207)
US-xML,NEON Mountain Lake Biological Station (MLBS),2.66,0.5404,POINT (-80.5248 37.3783)
US-UiB,University of Illinois Miscanthus,2.58,0.406,POINT (-88.1984 40.0628)
PR-xGU,NEON Guanica Forest (GUAN),23.21,0.5546,POINT (-66.8687 17.9696)
US-ARM,ARM Southern Great Plains site- Lamont,8.48,0.4017,POINT (-97.4888 36.6058)
US-Kon,Konza Prairie LTER (KNZ),4.7,0.4233,POINT (-96.5603 39.0824)
US-HB2,Hobcaw Barony Mature Longleaf Pine,12.81,0.5752,POINT (-79.244 33.3242)
US-xSL,"NEON North Sterling, CO (STER)",0.66,0.30460000000000004,POINT (-103.0293 40.4619)
US-xWD,NEON Woodworth (WOOD),0.0,0.36260000000000003,POINT (-99.2414 47.1282)
US-CS4,Central Sands Irrigated Agricultural Field,0.0,0.39030000000000004,POINT (-89.5475 44.1597)
US-xAE,NEON Klemme Range Research Station (OAES),7.99,0.3387,POINT (-99.0588 35.4106)
US-GLE,GLEES,0.0,0.3462,POINT (-106.2399 41.3665)
